,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Number,NumberAssigned,NationalCode,AreaCode,Networkcode,SubscriberNumber,Golden,GW,SubscriberName
254207900666,No,254,20,790,0666,,,
254207900667,No,254,20,790,0667,,,
254207900668,No,254,20,790,0668,,,
254207900669,No,254,20,790,0669,,,
254207900670,No,254,20,790,0670,,,
254207900671,No,254,20,790,0671,,,
254207900672,No,254,20,790,0672,,,
254207900673,No,254,20,790,0673,,,
254207900674,No,254,20,790,0674,,,
254207900675,No,254,20,790,0675,,,
254207900676,No,254,20,790,0676,,,
254207900677,No,254,20,790,0677,,,
254207900678,No,254,20,790,0678,,,
254207900679,No,254,20,790,0679,,,
254207900680,No,254,20,790,0680,,,
254207900681,No,254,20,790,0681,,,
254207900682,No,254,20,790,0682,,,
254207900683,No,254,20,790,0683,,,
254207900684,No,254,20,790,0684,,,
254207900685,No,254,20,790,0685,,,
254207900686,No,254,20,790,0686,,,
254207900687,No,254,20,790,0687,,,
254207900688,No,254,20,790,0688,,,
254207900689,No,254,20,790,0689,,,
254207900690,No,254,20,790,0690,,,
254207900691,No,254,20,790,0691,,,
254207900692,No,254,20,790,0692,,,
254207900693,No,254,20,790,0693,,,
254207900694,No,254,20,790,0694,,,
254207900695,No,254,20,790,0695,,,
254207900696,No,254,20,790,0696,,,
254207900697,No,254,20,790,0697,,,
254207900698,No,254,20,790,0698,,,
254207900699,No,254,20,790,0699,,,
254207900700,No,254,20,790,0700,,,
254207900701,No,254,20,790,0701,,,
254207900702,No,254,20,790,0702,,,
254207900703,No,254,20,790,0703,,,
254207900704,No,254,20,790,0704,,,
254207900705,No,254,20,790,0705,,,
254207900706,No,254,20,790,0706,,,
254207900707,No,254,20,790,0707,,,
254207900708,No,254,20,790,0708,,,
254207900709,No,254,20,790,0709,,,
254207900710,No,254,20,790,0710,,,
254207900711,No,254,20,790,0711,,,
254207900712,No,254,20,790,0712,,,
254207900713,No,254,20,790,0713,,,
254207900714,No,254,20,790,0714,,,
254207900715,No,254,20,790,0715,,,
254207900716,No,254,20,790,0716,,,
254207900717,No,254,20,790,0717,,,
